CRN,Course #,Course Title,Units,type,Days,Time,Bldg/Rm,Start-End,Instructor
30017,CORE-001-25D,The World at Home,4,DISC,MW,2:00-3:15pm,CLSSRM 264,28-AUG 12-DEC,"Mumford, Jeremy"
30018,CORE-001-26D,The World at Home,4,DISC,MW,3:30-4:45pm,CLSSRM 120,16-DEC 16-DEC,"Toconis, Michelle"
30019,CORE-001-27D,The World at Home,4,DISC,MW,5:00-6:15pm,CLSSRM 264,28-AUG 12-DEC,"Finley, Cheryl"
30020,CORE-001-28D,The World at Home,4,DISC,MW,6:30-7:45pm,CLSSRM 264,28-AUG 12-DEC,"Finley, Cheryl"
30021,CORE-001-29D,The World at Home,4,DISC,TR,8:00-9:15am,CLSSRM 264,28-AUG 12-DEC,"Porter, Stan"
31048,CORE-001-30D,The World at Home,4,DISC,TR,9:30-10:45am,CLSSRM 260,28-AUG 12-DEC,"Porter, Stan"
31049,CORE-001-31D,The World at Home,4,DISC,TR,12:30-1:45pm,CLSSRM 102,28-AUG 12-DEC,"Block, Alexandra"
31050,CORE-001-32D,The World at Home,4,DISC,TR,2:00-3:15pm,SSB 130,16-DEC 16-DEC,"Block, Alexandra"
31051,CORE-001-33D,The World at Home,4,DISC,TR,6:00-7:15pm,CLSSRM 209,28-AUG 12-DEC,"Gingold, Pamelyn"
30445,CSE-005-01,Intro Computer ApplicationsMust Also Register for a Corresponding Lab,4,LECT,M,7:30-9:20pm,CLSSRM 209,28-AUG 12-DEC,"Cadden, Kathleen"
30446,CSE-005-02L,Intro Computer Applications,0,LAB,TR,9:00-11:50am,CLSSRM 209,28-AUG 12-DEC,"Hashmi, Ameed"
30447,CSE-005-03L,Intro Computer Applications,0,LAB,WF,8:00-10:50am,CLSSRM 116,15-DEC 15-DEC,"Hashmi, Ameed"
30448,CSE-005-04L,Intro Computer Applications,0,LAB,TR,12:00-2:50pm,CLSSRM 209,28-AUG 12-DEC,"Ko, Marwin"
33821,CSE-005-05L,Intro Computer Applications,0,LAB,MW,3:00-5:50pm,SSM 104,16-DEC 16-DEC,"Liu, Shuo"
35347,CSE-005-06L,Intro Computer Applications,0,LAB,WF,7:30-10:20pm,CLSSRM 209,28-AUG 12-DEC,"Ko, Marwin"
30449,CSE-020-01,Introduction to Computing IMust Also Register for a Corresponding Lab,2,LECT,M,12:30-1:20pm,CLSSRM 209,28-AUG 12-DEC,"Lwin, Kelvin"
30450,CSE-020-02L,Introduction to Computing I,0,LAB,W,5:00-7:50pm,CLSSRM 209,28-AUG 12-DEC,"Singhal, Milind"
30451,CSE-020-03L,Introduction to Computing I,0,LAB,W,5:00-7:50pm,SSB 120,19-DEC 19-DEC,"Alizadeh, Mehdi"
30452,CSE-020-04L,Introduction to Computing I,0,LAB,R,5:00-7:50pm,CLSSRM 209,28-AUG 12-DEC,"Pillai, Himanshu"
30453,CSE-020-05L,Introduction to Computing I,0,LAB,W,2:00-4:50pm,CLSSRM 209,28-AUG 12-DEC,"Hu, Zhe"
30454,CSE-020-06L,Introduction to Computing I,0,LAB,R,8:00-10:50am,CLSSRM 116,16-DEC 16-DEC,"Pillai, Himanshu"
30455,CSE-020-07L,Introduction to Computing I,0,LAB,T,5:00-7:50pm,CLSSRM 105,28-AUG 12-DEC,"Farhadloo, Mohsen"
30456,CSE-020-08L,Introduction to Computing I,0,LAB,M,3:00-5:50pm,CLSSRM 113,16-DEC 16-DEC,"Singhal, Milind"
30457,CSE-020-09L,Introduction to Computing I,0,LAB,F,5:00-7:50pm,SSB 130,17-DEC 17-DEC,"Truong, Cang"
30458,CSE-020-10L,Introduction to Computing I,0,LAB,F,2:00-4:50pm,KOLLIG 208,28-AUG 12-DEC,"Liu, Sifei"
34889,CSE-020-11L,Introduction to Computing I,0,LAB,R,8:00-10:50pm,KOLLIG 208,28-AUG 12-DEC,"Tsai, Yi-Hsuan"
35366,CSE-020-12L,Introduction to Computing I,0,LAB,W,8:00-10:50pm,CLSSRM 113,18-DEC 18-DEC,"Alizadeh, Mehdi"
30459,CSE-021-01,Introduction to Computing IIMust Also Register for a Corresponding Lab,2,LECT,W,2:30-3:20pm,CLSSRM 102,28-AUG 12-DEC,"Leung, Chi Yan"
30460,CSE-021-02L,Introduction to Computing II,0,LAB,T,8:00-10:50am,CLSSRM 120,16-DEC 16-DEC,"Zhu, Yi"
30461,CSE-021-03L,Introduction to Computing II,0,LAB,T,11:00-1:50pm,SCIENG 138,28-AUG 12-DEC,"Naghshnejad, Mina"
31203,CSE-021-04L,Introduction to Computing II,0,LAB,T,2:00-4:50pm,SCIENG 100,28-AUG 12-DEC,"Zhu, Yi"
31437,CSE-021-05L,Introduction to Computing II,0,LAB,R,11:00-1:50pm,SCIENG 138,28-AUG 12-DEC,"Zhuang, Zixuan"
30462,CSE-030-01,Intro to Comp Sci and Engin IMust Also Register for a Corresponding Lab,4,LECT,MW,6:00-7:15pm,SCIENG 138,28-AUG 12-DEC,"Leung, Chi Yan"
30463,CSE-030-02L,Intro to Comp Sci and Engin I,0,LAB,R,2:00-4:50pm,SCIENG 138,28-AUG 12-DEC,"Camporesi, Carlo"
30464,CSE-030-03L,Intro to Comp Sci and Engin I,0,LAB,R,5:00-7:50pm,SCIENG 138,28-AUG 12-DEC,"Camporesi, Carlo"
31610,CSE-030-04L,Intro to Comp Sci and Engin I,0,LAB,M,8:00-10:50pm,SCIENG 138,28-AUG 12-DEC,"Rafay, Abdur"
